assigned_by,origin_station,destination_station,mission_type,crew_status,navigation_mode,car_color,last_telemetry_message,ship_serial_number
Axel Orov,Helion Hub,Zenthar Relay,commute,automated,auto,Tan,Clear path confirmed. Continuing cruise.,CXS-5097-NR
Axel Orov,Thalos Crossing,Cerebra Ring,commute,automated,auto,RosyBrown,Fuel low. Navigating around debris.,CXS-7302-FX
Tamsin Ryx,Thalos Crossing,Lunaris Port,commute,automated,auto,Sienna,Clear path confirmed. Continuing cruise.,CXS-6881-OI
Axel Orov,Zenthar Relay,Cerebra Ring,commute,automated,auto,LightBlue,Power levels nominal. Adjusting trajectory.,CXS-7484-UI
Dr. Calix Renner,Zenthar Relay,Lunaris Port,commute,automated,auto,Turquoise,Minor vibration detected. Monitoring systems.,CXS-9138-PU
Tamsin Ryx,Zenthar Relay,Thalos Crossing,commute,automated,auto,LawnGreen,Minor vibration detected. Monitoring systems.,CXS-6772-IO
Tamsin Ryx,Cryon Reach,Cerebra Ring,commute,automated,auto,Crimson,Minor vibration detected. Monitoring systems.,CXS-5106-WJ
Elia Vorn,Orryx Haven,Cerebra Ring,commute,automated,auto,LavenderBlush,Power levels nominal. Adjusting trajectory.,CXS-6061-IK
Captain Kael,Thalos Crossing,Lunaris Port,commute,automated,auto,MediumAquaMarine,Fuel low. Navigating around debris.,CXS-2476-RC
Zara Strix,Zenthar Relay,Orryx Haven,commute,automated,auto,DarkSlateGray,Fuel low. Navigating around debris.,CXS-4289-EH
Captain Kael,Orryx Haven,Thalos Crossing,commute,automated,auto,OliveDrab,Minor vibration detected. Monitoring systems.,CXS-9221-WE
Marshal Keir,Zenthar Relay,Thalos Crossing,commute,automated,auto,HotPink,Re-routing due to unstable path.,CXS-8894-CN
Captain Kael,Zenthar Relay,Cerebra Ring,commute,automated,auto,PaleTurquoise,Power levels nominal. Adjusting trajectory.,CXS-8673-KR
Tamsin Ryx,Vega Spire,Orryx Haven,commute,automated,auto,SeaGreen,Clear path confirmed. Continuing cruise.,CXS-6992-NB
Zara Strix,Vega Spire,Thalos Crossing,commute,automated,auto,GreenYellow,Power levels nominal. Adjusting trajectory.,CXS-5332-NM
Captain Kael,Vega Spire,Zenthar Relay,commute,automated,auto,Beige,Re-routing due to unstable path.,CXS-7242-YS
Tamsin Ryx,Helion Hub,Lunaris Port,commute,automated,auto,Olive,Clear path confirmed. Continuing cruise.,CXS-1410-PA
Tamsin Ryx,Helion Hub,Zenthar Relay,commute,automated,auto,MidnightBlue,Power levels nominal. Adjusting trajectory.,CXS-8606-JY
Zara Strix,Zenthar Relay,Cerebra Ring,commute,automated,auto,Orange,Power levels nominal. Adjusting trajectory.,CXS-3290-NR
Axel Orov,Lunaris Port,Vega Spire,commute,automated,auto,YellowGreen,Clear path confirmed. Continuing cruise.,CXS-2902-ZT
Marshal Keir,Vega Spire,Orryx Haven,commute,automated,auto,Indigo,Clear path confirmed. Continuing cruise.,CXS-8432-PH
Zara Strix,Helion Hub,Cerebra Ring,commute,automated,auto,LightPink,Minor vibration detected. Monitoring systems.,CXS-3531-NP
Elia Vorn,Cerebra Ring,Helion Hub,commute,automated,auto,Black,Clear path confirmed. Continuing cruise.,CXS-7686-MK
Captain Kael,Zenthar Relay,Lunaris Port,commute,automated,auto,PaleGreen,Fuel low. Navigating around debris.,CXS-8264-XF
Captain Kael,Thalos Crossing,Vega Spire,commute,automated,auto,SeaGreen,Power levels nominal. Adjusting trajectory.,CXS-7018-ET
Zara Strix,Helion Hub,Lunaris Port,commute,automated,auto,White,Re-routing due to unstable path.,CXS-4109-AM
Commander Yulo,Vega Spire,Thalos Crossing,commute,automated,auto,Bisque,Power levels nominal. Adjusting trajectory.,CXS-4475-CU
Captain Kael,Lunaris Port,Vega Spire,commute,automated,auto,Pink,Fuel low. Navigating around debris.,CXS-3063-EO
Tamsin Ryx,Cryon Reach,Lunaris Port,commute,automated,auto,Gainsboro,Minor vibration detected. Monitoring systems.,CXS-4538-BI
Marshal Keir,Cryon Reach,Orryx Haven,commute,automated,auto,Olive,Minor vibration detected. Monitoring systems.,CXS-1046-KG
Marshal Keir,Zenthar Relay,Thalos Crossing,commute,automated,auto,SaddleBrown,Fuel low. Navigating around debris.,CXS-9850-KK
Marshal Keir,Zenthar Relay,Thalos Crossing,commute,automated,auto,Olive,Power levels nominal. Adjusting trajectory.,CXS-1422-IY
Captain Kael,Orryx Haven,Lunaris Port,commute,automated,auto,PeachPuff,Fuel low. Navigating around debris.,CXS-6304-IC
Axel Orov,Lunaris Port,Orryx Haven,commute,automated,auto,SeaShell,Power levels nominal. Adjusting trajectory.,CXS-3076-AX
Elia Vorn,Cerebra Ring,Zenthar Relay,commute,automated,auto,Yellow,Power levels nominal. Adjusting trajectory.,CXS-8802-BL
Captain Kael,Thalos Crossing,Cerebra Ring,commute,automated,auto,Ivory,Minor vibration detected. Monitoring systems.,CXS-2786-UC
Tamsin Ryx,Thalos Crossing,Zenthar Relay,commute,automated,auto,BlueViolet,Minor vibration detected. Monitoring systems.,CXS-1710-YA
Dr. Calix Renner,Zenthar Relay,Cryon Reach,commute,automated,auto,LightBlue,Power levels nominal. Adjusting trajectory.,CXS-8847-GA
Elia Vorn,Cerebra Ring,Cryon Reach,commute,automated,auto,DeepSkyBlue,Clear path confirmed. Continuing cruise.,CXS-8267-HE
Captain Kael,Vega Spire,Lunaris Port,commute,automated,auto,Sienna,Minor vibration detected. Monitoring systems.,CXS-3430-VD
Axel Orov,Vega Spire,Orryx Haven,commute,automated,auto,IndianRed,Minor vibration detected. Monitoring systems.,CXS-9984-OW
Axel Orov,Helion Hub,Cryon Reach,commute,automated,auto,LightCyan,Clear path confirmed. Continuing cruise.,CXS-9282-YL
Elia Vorn,Cerebra Ring,Lunaris Port,commute,automated,auto,FireBrick,Minor vibration detected. Monitoring systems.,CXS-4522-TT
Tamsin Ryx,Cerebra Ring,Cryon Reach,commute,automated,auto,DarkOrange,Clear path confirmed. Continuing cruise.,CXS-6553-YF
Zara Strix,Thalos Crossing,Cryon Reach,commute,automated,auto,Magenta,Power levels nominal. Adjusting trajectory.,CXS-6120-DS
Axel Orov,Cerebra Ring,Orryx Haven,commute,automated,auto,Bisque,Re-routing due to unstable path.,CXS-3500-JS
Elia Vorn,Thalos Crossing,Lunaris Port,commute,automated,auto,OldLace,Power levels nominal. Adjusting trajectory.,CXS-2527-MW
Captain Kael,Cerebra Ring,Lunaris Port,commute,automated,auto,Gray,Fuel low. Navigating around debris.,CXS-1982-CS
Elia Vorn,Helion Hub,Cerebra Ring,commute,automated,auto,LemonChiffon,Clear path confirmed. Continuing cruise.,CXS-6793-DW
Dr. Calix Renner,Cerebra Ring,Thalos Crossing,commute,automated,auto,LimeGreen,Re-routing due to unstable path.,CXS-6119-VT
Tamsin Ryx,Helion Hub,Lunaris Port,commute,automated,auto,DarkOrchid,Fuel low. Navigating around debris.,CXS-8900-ZS
Elia Vorn,Cryon Reach,Thalos Crossing,commute,automated,auto,BlueViolet,Re-routing due to unstable path.,CXS-7022-LR
Axel Orov,Vega Spire,Thalos Crossing,commute,automated,auto,Pink,Minor vibration detected. Monitoring systems.,CXS-4705-VL
Dr. Calix Renner,Cerebra Ring,Thalos Crossing,commute,automated,auto,CornflowerBlue,Minor vibration detected. Monitoring systems.,CXS-5381-QU
Axel Orov,Lunaris Port,Orryx Haven,commute,automated,auto,MediumSpringGreen,Re-routing due to unstable path.,CXS-6567-AN
Marshal Keir,Helion Hub,Lunaris Port,commute,automated,auto,SlateGray,Fuel low. Navigating around debris.,CXS-7566-DN
Dr. Calix Renner,Vega Spire,Orryx Haven,commute,automated,auto,MistyRose,Power levels nominal. Adjusting trajectory.,CXS-9691-UO
Zara Strix,Cryon Reach,Zenthar Relay,commute,automated,auto,DeepSkyBlue,Clear path confirmed. Continuing cruise.,CXS-6585-NF
Axel Orov,Orryx Haven,Cryon Reach,commute,automated,auto,Turquoise,Re-routing due to unstable path.,CXS-2391-UI
Marshal Keir,Lunaris Port,Orryx Haven,commute,automated,auto,WhiteSmoke,Minor vibration detected. Monitoring systems.,CXS-1815-YP
Commander Yulo,Vega Spire,Cryon Reach,commute,automated,auto,SeaGreen,Clear path confirmed. Continuing cruise.,CXS-8957-NX
Axel Orov,Thalos Crossing,Cryon Reach,commute,automated,auto,LightGreen,Fuel low. Navigating around debris.,CXS-9394-KH
Zara Strix,Vega Spire,Cryon Reach,commute,automated,auto,DarkCyan,Power levels nominal. Adjusting trajectory.,CXS-5640-IO
Axel Orov,Thalos Crossing,Zenthar Relay,commute,automated,auto,LemonChiffon,Power levels nominal. Adjusting trajectory.,CXS-4612-YO
Dr. Calix Renner,Cerebra Ring,Zenthar Relay,commute,automated,auto,Olive,Power levels nominal. Adjusting trajectory.,CXS-4349-KA
Marshal Keir,Zenthar Relay,Vega Spire,commute,automated,auto,Snow,Re-routing due to unstable path.,CXS-5742-KF
Dr. Calix Renner,Helion Hub,Lunaris Port,commute,automated,auto,SlateBlue,Clear path confirmed. Continuing cruise.,CXS-8055-GL
Zara Strix,Orryx Haven,Vega Spire,commute,automated,auto,LightGoldenRodYellow,Minor vibration detected. Monitoring systems.,CXS-4770-KI
Zara Strix,Helion Hub,Lunaris Port,commute,automated,auto,LightSalmon,Power levels nominal. Adjusting trajectory.,CXS-8147-RA
Elia Vorn,Lunaris Port,Zenthar Relay,commute,automated,auto,Tomato,Re-routing due to unstable path.,CXS-8033-GC
Zara Strix,Cerebra Ring,Helion Hub,commute,automated,auto,LawnGreen,Re-routing due to unstable path.,CXS-2887-XN
Captain Kael,Cerebra Ring,Lunaris Port,commute,automated,auto,SlateGray,Fuel low. Navigating around debris.,CXS-8538-RY
Zara Strix,Helion Hub,Lunaris Port,commute,automated,auto,LawnGreen,Power levels nominal. Adjusting trajectory.,CXS-4986-WP
Zara Strix,Cerebra Ring,Zenthar Relay,commute,automated,auto,SlateGray,Minor vibration detected. Monitoring systems.,CXS-2288-OZ
Axel Orov,Cerebra Ring,Thalos Crossing,commute,automated,auto,Azure,Re-routing due to unstable path.,CXS-4630-CJ
Marshal Keir,Helion Hub,Thalos Crossing,commute,automated,auto,Indigo,Power levels nominal. Adjusting trajectory.,CXS-9363-MW
Tamsin Ryx,Vega Spire,Helion Hub,commute,automated,auto,LemonChiffon,Re-routing due to unstable path.,CXS-6752-JV
Elia Vorn,Orryx Haven,Vega Spire,commute,automated,auto,NavajoWhite,Fuel low. Navigating around debris.,CXS-5193-PR
Marshal Keir,Cryon Reach,Vega Spire,commute,automated,auto,Wheat,Power levels nominal. Adjusting trajectory.,CXS-3902-LN
Commander Yulo,Thalos Crossing,Cryon Reach,commute,automated,auto,MediumPurple,Minor vibration detected. Monitoring systems.,CXS-6295-LW
Commander Yulo,Helion Hub,Vega Spire,commute,automated,auto,SaddleBrown,Power levels nominal. Adjusting trajectory.,CXS-8682-IJ
Axel Orov,Thalos Crossing,Helion Hub,commute,automated,auto,LightCoral,Re-routing due to unstable path.,CXS-1920-HD
Elia Vorn,Helion Hub,Zenthar Relay,commute,automated,auto,GoldenRod,Re-routing due to unstable path.,CXS-8565-KD
Dr. Calix Renner,Thalos Crossing,Lunaris Port,commute,automated,auto,WhiteSmoke,Re-routing due to unstable path.,CXS-5703-YW
Elia Vorn,Vega Spire,Cerebra Ring,commute,automated,auto,GhostWhite,Minor vibration detected. Monitoring systems.,CXS-9307-GG
Dr. Calix Renner,Cerebra Ring,Cryon Reach,commute,automated,auto,SkyBlue,Clear path confirmed. Continuing cruise.,CXS-4084-IX
Commander Yulo,Helion Hub,Zenthar Relay,commute,automated,auto,Violet,Minor vibration detected. Monitoring systems.,CXS-3471-TJ
Elia Vorn,Lunaris Port,Zenthar Relay,commute,automated,auto,DarkGreen,Re-routing due to unstable path.,CXS-2381-GJ
Tamsin Ryx,Orryx Haven,Lunaris Port,commute,automated,auto,Khaki,Clear path confirmed. Continuing cruise.,CXS-8199-LF
Captain Kael,Orryx Haven,Cryon Reach,commute,automated,auto,LimeGreen,Re-routing due to unstable path.,CXS-7347-AW
Captain Kael,Cerebra Ring,Thalos Crossing,commute,automated,auto,White,Minor vibration detected. Monitoring systems.,CXS-1857-EI
Captain Kael,Helion Hub,Lunaris Port,commute,automated,auto,Brown,Power levels nominal. Adjusting trajectory.,CXS-7333-BR
Marshal Keir,Zenthar Relay,Orryx Haven,commute,automated,auto,LightSteelBlue,Re-routing due to unstable path.,CXS-2335-WE
Axel Orov,Orryx Haven,Cryon Reach,commute,automated,auto,SlateGray,Clear path confirmed. Continuing cruise.,CXS-3112-DA
Zara Strix,Vega Spire,Cryon Reach,commute,automated,auto,LightSkyBlue,Re-routing due to unstable path.,CXS-3093-PP
Zara Strix,Vega Spire,Cerebra Ring,commute,automated,auto,Purple,Minor vibration detected. Monitoring systems.,CXS-6928-KF
Axel Orov,Lunaris Port,Cryon Reach,commute,automated,auto,CadetBlue,Fuel low. Navigating around debris.,CXS-4509-IP
Commander Yulo,Helion Hub,Thalos Crossing,commute,automated,auto,DarkOrange,Fuel low. Navigating around debris.,CXS-4711-CM
Elia Vorn,Orryx Haven,Vega Spire,commute,automated,auto,SlateGray,Re-routing due to unstable path.,CXS-2657-CS
Captain Kael,Lunaris Port,Cerebra Ring,commute,automated,auto,CadetBlue,Minor vibration detected. Monitoring systems.,CXS-3147-EE
Marshal Keir,Cerebra Ring,Vega Spire,commute,automated,auto,LimeGreen,Fuel low. Navigating around debris.,CXS-3712-CH
Zara Strix,Thalos Crossing,Lunaris Port,commute,automated,auto,DarkOrchid,Re-routing due to unstable path.,CXS-4891-RY
Axel Orov,Thalos Crossing,Zenthar Relay,commute,automated,auto,PapayaWhip,Clear path confirmed. Continuing cruise.,CXS-4833-TT
Commander Yulo,Cryon Reach,Orryx Haven,commute,automated,auto,Ivory,Fuel low. Navigating around debris.,CXS-7026-YQ
Axel Orov,Thalos Crossing,Cryon Reach,commute,automated,auto,Olive,Clear path confirmed. Continuing cruise.,CXS-9239-OO
Tamsin Ryx,Cerebra Ring,Vega Spire,commute,automated,auto,Lime,Minor vibration detected. Monitoring systems.,CXS-3267-SN
Commander Yulo,Zenthar Relay,Lunaris Port,commute,automated,auto,Linen,Re-routing due to unstable path.,CXS-2680-ST
Elia Vorn,Vega Spire,Cryon Reach,commute,automated,auto,Chocolate,Fuel low. Navigating around debris.,CXS-5469-TX
Marshal Keir,Thalos Crossing,Zenthar Relay,commute,automated,auto,DarkGreen,Clear path confirmed. Continuing cruise.,CXS-2502-YG
Commander Yulo,Cryon Reach,Thalos Crossing,commute,automated,auto,HotPink,Re-routing due to unstable path.,CXS-1436-IV
Zara Strix,Cerebra Ring,Lunaris Port,commute,automated,auto,Cyan,Minor vibration detected. Monitoring systems.,CXS-7126-FH
Elia Vorn,Cryon Reach,Zenthar Relay,commute,automated,auto,ForestGreen,Re-routing due to unstable path.,CXS-4678-RC
Elia Vorn,Lunaris Port,Cryon Reach,commute,automated,auto,DimGray,Re-routing due to unstable path.,CXS-3392-AN
Axel Orov,Orryx Haven,Lunaris Port,commute,automated,auto,RoyalBlue,Clear path confirmed. Continuing cruise.,CXS-3273-WT
Dr. Calix Renner,Thalos Crossing,Cryon Reach,commute,automated,auto,SeaShell,Power levels nominal. Adjusting trajectory.,CXS-1311-JB
Marshal Keir,Zenthar Relay,Vega Spire,commute,automated,auto,Lavender,Minor vibration detected. Monitoring systems.,CXS-9647-JW
Axel Orov,Cerebra Ring,Lunaris Port,commute,automated,auto,LightSkyBlue,Fuel low. Navigating around debris.,CXS-5934-WO
Tamsin Ryx,Vega Spire,Lunaris Port,commute,automated,auto,Cornsilk,Clear path confirmed. Continuing cruise.,CXS-8489-VH
Commander Yulo,Vega Spire,Lunaris Port,commute,automated,auto,LightGray,Minor vibration detected. Monitoring systems.,CXS-9782-ZZ
Tamsin Ryx,Lunaris Port,Cerebra Ring,commute,automated,auto,Gray,Fuel low. Navigating around debris.,CXS-5772-ND
Captain Kael,Cerebra Ring,Lunaris Port,commute,automated,auto,YellowGreen,Fuel low. Navigating around debris.,CXS-7825-HU
Elia Vorn,Orryx Haven,Cerebra Ring,commute,automated,auto,DeepPink,Minor vibration detected. Monitoring systems.,CXS-6908-IE
Dr. Calix Renner,Vega Spire,Helion Hub,commute,automated,auto,Cornsilk,Clear path confirmed. Continuing cruise.,CXS-8702-BF
Zara Strix,Lunaris Port,Cerebra Ring,commute,automated,auto,Linen,Re-routing due to unstable path.,CXS-5155-TX
Elia Vorn,Lunaris Port,Cryon Reach,commute,automated,auto,LightSlateGray,Re-routing due to unstable path.,CXS-4950-OD
Captain Kael,Vega Spire,Thalos Crossing,commute,automated,auto,SeaGreen,Fuel low. Navigating around debris.,CXS-1726-WJ
Captain Kael,Helion Hub,Zenthar Relay,commute,automated,auto,PaleGreen,Fuel low. Navigating around debris.,CXS-8612-IQ
Marshal Keir,Thalos Crossing,Helion Hub,commute,automated,auto,Yellow,Fuel low. Navigating around debris.,CXS-2033-PO
Axel Orov,Thalos Crossing,Lunaris Port,commute,automated,auto,Cyan,Fuel low. Navigating around debris.,CXS-1717-TB
Captain Kael,Cryon Reach,Lunaris Port,commute,automated,auto,Plum,Re-routing due to unstable path.,CXS-9444-XK
Commander Yulo,Cerebra Ring,Thalos Crossing,commute,automated,auto,LightCoral,Re-routing due to unstable path.,CXS-1599-AC
Captain Kael,Cryon Reach,Orryx Haven,commute,automated,auto,Khaki,Power levels nominal. Adjusting trajectory.,CXS-6438-VS
Captain Kael,Zenthar Relay,Lunaris Port,commute,automated,auto,Beige,Clear path confirmed. Continuing cruise.,CXS-7553-YV
Captain Kael,Thalos Crossing,Cryon Reach,commute,automated,auto,LightGreen,Fuel low. Navigating around debris.,CXS-9129-SB
Axel Orov,Thalos Crossing,Orryx Haven,commute,automated,auto,ForestGreen,Power levels nominal. Adjusting trajectory.,CXS-7955-PQ
Marshal Keir,Vega Spire,Zenthar Relay,commute,automated,auto,Red,Minor vibration detected. Monitoring systems.,CXS-5813-IF
Elia Vorn,Helion Hub,Lunaris Port,commute,automated,auto,PowderBlue,Re-routing due to unstable path.,CXS-5843-UP
Zara Strix,Zenthar Relay,Cryon Reach,commute,automated,auto,DarkGoldenRod,Fuel low. Navigating around debris.,CXS-8272-PL
Dr. Calix Renner,Helion Hub,Cryon Reach,commute,automated,auto,PaleTurquoise,Re-routing due to unstable path.,CXS-8126-KK
Dr. Calix Renner,Zenthar Relay,Cerebra Ring,commute,automated,auto,DarkKhaki,Power levels nominal. Adjusting trajectory.,CXS-7655-FK
Marshal Keir,Helion Hub,Zenthar Relay,commute,automated,auto,PaleVioletRed,Power levels nominal. Adjusting trajectory.,CXS-3339-WP
Marshal Keir,Thalos Crossing,Lunaris Port,commute,automated,auto,LightSlateGray,Power levels nominal. Adjusting trajectory.,CXS-4866-VM
Zara Strix,Helion Hub,Orryx Haven,commute,automated,auto,Blue,Minor vibration detected. Monitoring systems.,CXS-1530-OC
Commander Yulo,Orryx Haven,Cerebra Ring,commute,automated,auto,Maroon,Re-routing due to unstable path.,CXS-7095-IK
Elia Vorn,Thalos Crossing,Cerebra Ring,commute,automated,auto,DarkOrange,Minor vibration detected. Monitoring systems.,CXS-3255-YM
Captain Kael,Helion Hub,Cryon Reach,commute,automated,auto,Thistle,Re-routing due to unstable path.,CXS-5089-AV
Marshal Keir,Vega Spire,Lunaris Port,commute,automated,auto,Yellow,Clear path confirmed. Continuing cruise.,CXS-9482-ON
Elia Vorn,Cerebra Ring,Zenthar Relay,commute,automated,auto,CadetBlue,Re-routing due to unstable path.,CXS-5264-GQ
Axel Orov,Thalos Crossing,Vega Spire,commute,automated,auto,MistyRose,Clear path confirmed. Continuing cruise.,CXS-4279-TY
Elia Vorn,Vega Spire,Orryx Haven,commute,automated,auto,SpringGreen,Clear path confirmed. Continuing cruise.,CXS-3828-UO
Captain Kael,Thalos Crossing,Lunaris Port,commute,automated,auto,CadetBlue,Re-routing due to unstable path.,CXS-2063-GI
Marshal Keir,Zenthar Relay,Orryx Haven,commute,automated,auto,DarkSeaGreen,Fuel low. Navigating around debris.,CXS-6922-JO
Tamsin Ryx,Cryon Reach,Lunaris Port,commute,automated,auto,SlateBlue,Fuel low. Navigating around debris.,CXS-4878-DA
Captain Kael,Thalos Crossing,Lunaris Port,commute,automated,auto,LawnGreen,Minor vibration detected. Monitoring systems.,CXS-7044-WF
Marshal Keir,Thalos Crossing,Cerebra Ring,commute,automated,auto,Magenta,Minor vibration detected. Monitoring systems.,CXS-2412-RA
Zara Strix,Vega Spire,Cryon Reach,commute,automated,auto,PaleTurquoise,Clear path confirmed. Continuing cruise.,CXS-9612-CH
Zara Strix,Cerebra Ring,Thalos Crossing,commute,automated,auto,DarkOrange,Minor vibration detected. Monitoring systems.,CXS-2208-OD
Elia Vorn,Orryx Haven,Cryon Reach,commute,automated,auto,DeepSkyBlue,Clear path confirmed. Continuing cruise.,CXS-8632-PW
Marshal Keir,Helion Hub,Vega Spire,commute,automated,auto,LightSteelBlue,Fuel low. Navigating around debris.,CXS-8088-QW
Elia Vorn,Lunaris Port,Thalos Crossing,commute,automated,auto,LightPink,Minor vibration detected. Monitoring systems.,CXS-3507-NP
Marshal Keir,Zenthar Relay,Vega Spire,commute,automated,auto,SeaShell,Re-routing due to unstable path.,CXS-4694-HO
Axel Orov,Helion Hub,Zenthar Relay,commute,automated,auto,DarkViolet,Power levels nominal. Adjusting trajectory.,CXS-5105-MG
Axel Orov,Cryon Reach,Cerebra Ring,commute,automated,auto,Teal,Fuel low. Navigating around debris.,CXS-5961-XE
Marshal Keir,Vega Spire,Helion Hub,commute,automated,auto,CornflowerBlue,Minor vibration detected. Monitoring systems.,CXS-3526-IY
Captain Kael,Orryx Haven,Cerebra Ring,commute,automated,auto,PapayaWhip,Minor vibration detected. Monitoring systems.,CXS-1674-KZ
Dr. Calix Renner,Lunaris Port,Vega Spire,commute,automated,auto,Tan,Minor vibration detected. Monitoring systems.,CXS-5336-IA
Zara Strix,Cryon Reach,Thalos Crossing,commute,automated,auto,LightSkyBlue,Minor vibration detected. Monitoring systems.,CXS-1496-XJ
Axel Orov,Thalos Crossing,Helion Hub,commute,automated,auto,SlateGray,Re-routing due to unstable path.,CXS-8912-EO
Zara Strix,Cryon Reach,Thalos Crossing,commute,automated,auto,WhiteSmoke,Re-routing due to unstable path.,CXS-8430-PL
Dr. Calix Renner,Vega Spire,Cerebra Ring,commute,automated,auto,MediumSeaGreen,Fuel low. Navigating around debris.,CXS-8202-RY
Commander Yulo,Cerebra Ring,Cryon Reach,commute,automated,auto,YellowGreen,Fuel low. Navigating around debris.,CXS-6573-MO
Captain Kael,Orryx Haven,Cryon Reach,commute,automated,auto,MediumBlue,Re-routing due to unstable path.,CXS-7532-GW
Captain Kael,Orryx Haven,Thalos Crossing,commute,automated,auto,LawnGreen,Minor vibration detected. Monitoring systems.,CXS-2739-SM
Commander Yulo,Helion Hub,Vega Spire,commute,automated,auto,Lavender,Power levels nominal. Adjusting trajectory.,CXS-5382-YN
Marshal Keir,Thalos Crossing,Vega Spire,commute,automated,auto,Brown,Power levels nominal. Adjusting trajectory.,CXS-1829-KX
Zara Strix,Zenthar Relay,Cryon Reach,commute,automated,auto,Sienna,Fuel low. Navigating around debris.,CXS-3616-WZ
Captain Kael,Helion Hub,Zenthar Relay,commute,automated,auto,Olive,Fuel low. Navigating around debris.,CXS-3610-MV
Commander Yulo,Thalos Crossing,Zenthar Relay,commute,automated,auto,DeepPink,Clear path confirmed. Continuing cruise.,CXS-6055-PB
Elia Vorn,Thalos Crossing,Lunaris Port,commute,automated,auto,DarkSalmon,Clear path confirmed. Continuing cruise.,CXS-9281-QS
Tamsin Ryx,Thalos Crossing,Vega Spire,commute,automated,auto,MediumPurple,Minor vibration detected. Monitoring systems.,CXS-6781-DO
Axel Orov,Lunaris Port,Vega Spire,commute,automated,auto,DarkGreen,Clear path confirmed. Continuing cruise.,CXS-8710-QO
Dr. Calix Renner,Zenthar Relay,Helion Hub,commute,automated,auto,Aquamarine,Power levels nominal. Adjusting trajectory.,CXS-8060-XE
Captain Kael,Orryx Haven,Cryon Reach,commute,automated,auto,PaleTurquoise,Clear path confirmed. Continuing cruise.,CXS-6995-UE
Dr. Calix Renner,Lunaris Port,Zenthar Relay,commute,automated,auto,Crimson,Minor vibration detected. Monitoring systems.,CXS-4189-PZ
Axel Orov,Helion Hub,Zenthar Relay,commute,automated,auto,LightGray,Power levels nominal. Adjusting trajectory.,CXS-7329-KT
Axel Orov,Thalos Crossing,Cerebra Ring,commute,automated,auto,Orchid,Minor vibration detected. Monitoring systems.,CXS-2946-UC
Zara Strix,Orryx Haven,Lunaris Port,commute,automated,auto,MediumPurple,Re-routing due to unstable path.,CXS-6555-VR
Marshal Keir,Helion Hub,Thalos Crossing,commute,automated,auto,Olive,Fuel low. Navigating around debris.,CXS-9341-KU
Dr. Calix Renner,Cerebra Ring,Zenthar Relay,commute,automated,auto,SlateBlue,Power levels nominal. Adjusting trajectory.,CXS-1637-RB
Captain Kael,Orryx Haven,Cerebra Ring,commute,automated,auto,CornflowerBlue,Clear path confirmed. Continuing cruise.,CXS-9508-HU
Marshal Keir,Thalos Crossing,Vega Spire,commute,automated,auto,LightSlateGray,Re-routing due to unstable path.,CXS-6218-HX
Axel Orov,Orryx Haven,Zenthar Relay,commute,automated,auto,DarkGoldenRod,Minor vibration detected. Monitoring systems.,CXS-6511-ND
Axel Orov,Thalos Crossing,Helion Hub,commute,automated,auto,DarkGreen,Clear path confirmed. Continuing cruise.,CXS-1272-OF
Elia Vorn,Helion Hub,Orryx Haven,commute,automated,auto,Lime,Clear path confirmed. Continuing cruise.,CXS-6040-AB
Commander Yulo,Lunaris Port,Helion Hub,commute,automated,auto,MediumOrchid,Re-routing due to unstable path.,CXS-4728-ZB
Commander Yulo,Lunaris Port,Helion Hub,commute,automated,auto,LightYellow,Fuel low. Navigating around debris.,CXS-9589-LL
Tamsin Ryx,Cerebra Ring,Vega Spire,commute,automated,auto,Plum,Power levels nominal. Adjusting trajectory.,CXS-2800-EH
Commander Yulo,Cryon Reach,Lunaris Port,commute,automated,auto,Wheat,Re-routing due to unstable path.,CXS-7861-NS
Tamsin Ryx,Orryx Haven,Zenthar Relay,commute,automated,auto,Gainsboro,Clear path confirmed. Continuing cruise.,CXS-9221-FF
Dr. Calix Renner,Thalos Crossing,Cerebra Ring,commute,automated,auto,Cyan,Fuel low. Navigating around debris.,CXS-9498-TM
Captain Kael,Cryon Reach,Helion Hub,commute,automated,auto,LawnGreen,Clear path confirmed. Continuing cruise.,CXS-9609-PS
Marshal Keir,Cerebra Ring,Orryx Haven,commute,automated,auto,DarkTurquoise,Clear path confirmed. Continuing cruise.,CXS-9734-HO
Captain Kael,Helion Hub,Zenthar Relay,commute,automated,auto,LightCyan,Re-routing due to unstable path.,CXS-8932-OI
Axel Orov,Cryon Reach,Vega Spire,commute,automated,auto,Aqua,Minor vibration detected. Monitoring systems.,CXS-5890-ZO
Axel Orov,Cryon Reach,Orryx Haven,commute,automated,auto,LightSlateGray,Fuel low. Navigating around debris.,CXS-9011-VR
Captain Kael,Helion Hub,Cryon Reach,commute,automated,auto,DimGray,Minor vibration detected. Monitoring systems.,CXS-5480-CO
Zara Strix,Zenthar Relay,Lunaris Port,commute,automated,auto,MediumTurquoise,Clear path confirmed. Continuing cruise.,CXS-6654-SJ
Dr. Calix Renner,Orryx Haven,Cryon Reach,commute,automated,auto,Peru,Re-routing due to unstable path.,CXS-2294-WI
Axel Orov,Helion Hub,Cryon Reach,commute,automated,auto,SaddleBrown,Clear path confirmed. Continuing cruise.,CXS-4505-JG
Axel Orov,Cryon Reach,Thalos Crossing,commute,automated,auto,OliveDrab,Minor vibration detected. Monitoring systems.,CXS-5450-PD
